epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1265.27,1.28927,0.54069,1.13176,0.75602,0.74045,0.75578,0.23843,2.56317,1.0067,2.10708,0.0011684,0.0011684,0.0011684
44,1294.68,1.27879,0.54871,1.13938,0.76284,0.78232,0.76321,0.22814,2.61758,0.89063,2.20835,0.0011486,0.0011486,0.0011486
45,1324.11,1.24539,0.53723,1.12128,0.75308,0.74874,0.77866,0.24136,2.50122,0.92114,2.103,0.0011288,0.0011288,0.0011288
46,1353.39,1.2562,0.54462,1.12744,0.71204,0.75275,0.7073,0.21043,2.5468,0.99157,2.13182,0.001109,0.001109,0.001109
47,1382.79,1.25355,0.53403,1.11351,0.66434,0.75941,0.72767,0.20499,2.69957,0.9053,2.26151,0.0010892,0.0010892,0.0010892
48,1412.18,1.25656,0.53572,1.11847,0.71252,0.6383,0.66749,0.18694,2.62484,1.12121,2.21886,0.0010694,0.0010694,0.0010694
49,1441.66,1.26812,0.53539,1.11979,0.79284,0.7767,0.78958,0.22472,2.56245,0.90997,2.15809,0.0010496,0.0010496,0.0010496
50,1470.92,1.2566,0.52885,1.12098,0.79913,0.80087,0.82221,0.2574,2.47937,0.97612,2.1225,0.0010298,0.0010298,0.0010298
51,1500.44,1.21188,0.51688,1.10215,0.84495,0.85625,0.87985,0.31223,2.32499,0.84563,1.91583,0.00101,0.00101,0.00101
52,1529.88,1.2305,0.52005,1.10951,0.81116,0.75941,0.80196,0.24408,2.4108,0.98426,2.02985,0.0009902,0.0009902,0.0009902
53,1559.34,1.24975,0.52792,1.11658,0.81078,0.78396,0.79018,0.23154,2.51575,0.88044,2.11799,0.0009704,0.0009704,0.0009704
54,1588.75,1.25357,0.53136,1.12247,0.7493,0.71907,0.71776,0.21025,2.63393,0.92389,2.20369,0.0009506,0.0009506,0.0009506
55,1618.2,1.2279,0.51275,1.11447,0.78963,0.7679,0.78176,0.23219,2.61128,0.88861,2.23771,0.0009308,0.0009308,0.0009308
