epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,705.913,1.98935,2.27078,2.11856,0.98021,0.97695,0.99381,0.77457,1.69937,0.63751,1.86661,0.00333163,0.00333163,0.00333163
2,1399.28,2.01612,0.90088,2.12997,0.97614,0.95554,0.99167,0.76738,1.69928,0.7769,1.86429,0.00655499,0.00655499,0.00655499
3,2086.97,2.07762,0.96989,2.18738,0.9414,0.9297,0.97976,0.75981,1.72371,0.79064,1.90461,0.00966835,0.00966835,0.00966835
4,2770.85,2.05265,0.92195,2.20443,0.97093,0.9761,0.99195,0.79458,1.63945,0.6285,1.86423,0.009505,0.009505,0.009505
5,3453.17,1.95777,0.82677,2.15749,0.97601,0.97224,0.99318,0.81319,1.58821,0.59765,1.85196,0.00934,0.00934,0.00934
6,4136.32,1.91607,0.78573,2.1451,0.97624,0.97472,0.99347,0.81071,1.54767,0.57945,1.82781,0.009175,0.009175,0.009175
7,4820.29,1.87934,0.75222,2.12913,0.97608,0.98305,0.99401,0.82465,1.54198,0.53993,1.84037,0.00901,0.00901,0.00901
8,5504.2,1.86112,0.73367,2.12429,0.98664,0.98517,0.99462,0.81391,1.54245,0.51963,1.82557,0.008845,0.008845,0.008845
9,6187.79,1.8428,0.72356,2.11268,0.987,0.99133,0.99468,0.80027,1.60508,0.52397,1.85077,0.00868,0.00868,0.00868
10,6872.84,1.8197,0.70515,2.09707,0.98843,0.98527,0.99457,0.81237,1.51942,0.525,1.82808,0.008515,0.008515,0.008515
11,7559.46,1.80867,0.69349,2.08959,0.9881,0.99201,0.99477,0.82371,1.51819,0.49526,1.82031,0.00835,0.00835,0.00835
12,8246.69,1.79702,0.68285,2.08392,0.99057,0.99266,0.99466,0.82914,1.51218,0.48288,1.81829,0.008185,0.008185,0.008185
13,8933.3,1.78904,0.67596,2.08103,0.98784,0.99317,0.99479,0.82059,1.52254,0.48125,1.82365,0.00802,0.00802,0.00802
14,9620.07,1.77649,0.66992,2.07285,0.98966,0.98421,0.99465,0.8171,1.49268,0.49071,1.81538,0.007855,0.007855,0.007855
15,10306.4,1.75919,0.65775,2.06812,0.99057,0.99289,0.99475,0.81819,1.51376,0.47703,1.81622,0.00769,0.00769,0.00769
16,10993.4,1.75782,0.65799,2.06477,0.987,0.99417,0.99479,0.8197,1.50982,0.47481,1.82166,0.007525,0.007525,0.007525
17,11679.1,1.75233,0.6456,2.06461,0.99222,0.99208,0.99441,0.82114,1.49807,0.46855,1.81386,0.00736,0.00736,0.00736
18,12366.5,1.74055,0.6408,2.06004,0.99054,0.99222,0.99485,0.82214,1.52094,0.47031,1.82499,0.007195,0.007195,0.007195
19,13055.2,1.73917,0.63999,2.06619,0.98941,0.99361,0.9948,0.81449,1.52577,0.47445,1.83211,0.00703,0.00703,0.00703
20,13743.3,1.73372,0.6375,2.06418,0.98877,0.99389,0.99486,0.81557,1.51815,0.47059,1.83521,0.006865,0.006865,0.006865
21,14431.3,1.73034,0.63114,2.05479,0.9903,0.99326,0.9949,0.82908,1.51652,0.46103,1.82532,0.0067,0.0067,0.0067
22,15120.7,1.71991,0.62558,2.05119,0.98867,0.99667,0.99485,0.82583,1.51197,0.46076,1.8305,0.006535,0.006535,0.006535
23,15809.4,1.7236,0.62424,2.05853,0.99195,0.99262,0.99488,0.8292,1.51038,0.45612,1.83266,0.00637,0.00637,0.00637
24,16498.7,1.71919,0.61724,2.04874,0.99207,0.99722,0.99493,0.82686,1.51586,0.4516,1.83255,0.006205,0.006205,0.006205
25,17187.9,1.70172,0.60909,2.04369,0.99331,0.99444,0.99494,0.82642,1.51414,0.45416,1.8344,0.00604,0.00604,0.00604
26,17875,1.69992,0.61078,2.0394,0.99424,0.99166,0.99494,0.82217,1.51459,0.4582,1.83269,0.005875,0.005875,0.005875
27,18563.6,1.69958,0.60545,2.03698,0.98658,0.99667,0.99488,0.81787,1.517,0.46083,1.82966,0.00571,0.00571,0.00571
28,19251.7,1.69315,0.60396,2.04072,0.99224,0.99509,0.9948,0.81805,1.51618,0.46067,1.82988,0.005545,0.005545,0.005545
29,19938.9,1.68354,0.59558,2.03536,0.99168,0.99667,0.99492,0.82077,1.51099,0.45096,1.83017,0.00538,0.00538,0.00538
30,20626.6,1.68198,0.59777,2.03039,0.991,0.99583,0.99488,0.8232,1.50366,0.44942,1.82822,0.005215,0.005215,0.005215
31,21314.1,1.67342,0.59498,2.02957,0.99074,0.99778,0.99493,0.82704,1.49892,0.44568,1.82655,0.00505,0.00505,0.00505
32,22001.3,1.6715,0.59197,2.02383,0.98913,0.9975,0.99491,0.82741,1.49801,0.44541,1.82439,0.004885,0.004885,0.004885
33,22689.8,1.66123,0.58487,2.02547,0.99008,0.99809,0.9949,0.82854,1.4965,0.44438,1.82335,0.00472,0.00472,0.00472
34,23378.8,1.65557,0.58653,2.01605,0.9928,0.99606,0.99492,0.83033,1.49312,0.44213,1.82184,0.004555,0.004555,0.004555
35,24067.9,1.64733,0.57843,2.01021,0.9939,0.9968,0.99496,0.82969,1.49153,0.43993,1.81924,0.00439,0.00439,0.00439
36,24757.2,1.65128,0.57733,2.01222,0.9911,0.99861,0.99492,0.82887,1.49031,0.43964,1.81781,0.004225,0.004225,0.004225
37,25443.5,1.64409,0.57615,2.00692,0.99281,0.99689,0.99495,0.82789,1.49081,0.43855,1.81666,0.00406,0.00406,0.00406
38,26129.9,1.63116,0.57242,2.00393,0.99528,0.99672,0.99496,0.82889,1.48921,0.4362,1.81471,0.003895,0.003895,0.003895
39,26819.9,1.62524,0.57003,2.00584,0.9939,0.99657,0.99495,0.82789,1.48912,0.43671,1.81408,0.00373,0.00373,0.00373
40,27509.3,1.62057,0.56095,2.00122,0.99253,0.99677,0.99494,0.82807,1.48668,0.43601,1.81228,0.003565,0.003565,0.003565
41,28198.6,1.62082,0.56177,2.00001,0.99226,0.9975,0.99496,0.8282,1.4859,0.43558,1.81138,0.0034,0.0034,0.0034
42,28886.6,1.61048,0.56009,1.99568,0.99421,0.99611,0.99497,0.82796,1.48483,0.434,1.81102,0.003235,0.003235,0.003235
43,29575.6,1.60644,0.55568,1.99439,0.99335,0.99686,0.99494,0.82742,1.48384,0.43553,1.80989,0.00307,0.00307,0.00307
44,30264.8,1.6018,0.55022,1.98994,0.99277,0.99722,0.99495,0.82722,1.48264,0.43559,1.80875,0.002905,0.002905,0.002905
45,30953.5,1.59912,0.55129,1.99055,0.99302,0.99694,0.99487,0.82676,1.48183,0.43538,1.808,0.00274,0.00274,0.00274
46,31666.2,1.59218,0.54526,1.98789,0.99308,0.99713,0.99494,0.82738,1.48034,0.43313,1.80719,0.002575,0.002575,0.002575
47,32356.5,1.58181,0.54088,1.98541,0.99501,0.99638,0.99494,0.82808,1.47852,0.43251,1.80657,0.00241,0.00241,0.00241
48,33045.3,1.57895,0.53638,1.98584,0.99434,0.99778,0.99494,0.82905,1.47708,0.43072,1.80611,0.002245,0.002245,0.002245
49,33733,1.56585,0.53088,1.97881,0.99528,0.99693,0.99495,0.82845,1.47712,0.43208,1.80579,0.00208,0.00208,0.00208
50,34421.7,1.55691,0.5233,1.973,0.9939,0.99587,0.99492,0.82813,1.4772,0.43393,1.8058,0.001915,0.001915,0.001915
51,35106.6,1.43292,0.46108,1.85438,0.99336,0.99694,0.99493,0.82761,1.47759,0.43306,1.80548,0.00175,0.00175,0.00175
52,35791.3,1.42478,0.45667,1.85213,0.9939,0.99644,0.99492,0.82756,1.47763,0.43328,1.80535,0.001585,0.001585,0.001585
53,36476.9,1.41652,0.45037,1.85444,0.99364,0.99793,0.99494,0.82788,1.47698,0.43144,1.80488,0.00142,0.00142,0.00142
54,37160.1,1.40549,0.44446,1.85126,0.99324,0.99722,0.99474,0.82847,1.47708,0.43345,1.80513,0.001255,0.001255,0.001255
55,37845.7,1.39792,0.4405,1.84712,0.99007,0.99771,0.99489,0.82887,1.47724,0.43411,1.80563,0.00109,0.00109,0.00109
56,38531.7,1.38972,0.43761,1.84471,0.99336,0.99778,0.99494,0.82929,1.47723,0.43137,1.80654,0.000925,0.000925,0.000925
57,39217.8,1.38373,0.43097,1.84242,0.99335,0.99694,0.99493,0.82922,1.47755,0.42961,1.80703,0.00076,0.00076,0.00076
58,39904.4,1.37639,0.42515,1.84002,0.9937,0.99694,0.99489,0.82957,1.4778,0.42902,1.80763,0.000595,0.000595,0.000595
59,40590.7,1.3682,0.41931,1.83541,0.99275,0.9975,0.99488,0.83055,1.47773,0.4288,1.80811,0.00043,0.00043,0.00043
60,41275.8,1.3581,0.41237,1.83209,0.99391,0.99774,0.99491,0.83055,1.47821,0.4276,1.80814,0.000265,0.000265,0.000265
