epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1240.33,1.13933,0.53739,1.09089,0.89093,0.97944,0.87984,0.45619,1.65645,0.74405,1.22829,0.0011684,0.0011684,0.0011684
44,1269.05,1.13799,0.54452,1.09766,0.98152,0.98238,0.97359,0.4975,1.71282,0.64272,1.31514,0.0011486,0.0011486,0.0011486
45,1297.82,1.12538,0.53613,1.08876,0.96813,0.98134,0.96932,0.48899,1.6974,0.68315,1.26142,0.0011288,0.0011288,0.0011288
46,1326.37,1.1117,0.54996,1.08072,0.97847,0.97651,0.95807,0.44065,1.81985,0.68741,1.29077,0.001109,0.001109,0.001109
47,1355.08,1.13237,0.52907,1.08697,0.96922,0.9709,0.95406,0.40067,1.94627,0.74362,1.37579,0.0010892,0.0010892,0.0010892
48,1383.79,1.1229,0.52874,1.08611,0.98363,0.98825,0.98052,0.5112,1.6322,0.64958,1.23034,0.0010694,0.0010694,0.0010694
49,1412.68,1.12013,0.52381,1.08585,0.98549,0.98678,0.97707,0.50352,1.64558,0.62342,1.2336,0.0010496,0.0010496,0.0010496
50,1441.39,1.13186,0.52204,1.09399,0.98472,0.98532,0.97584,0.50833,1.62254,0.67299,1.22881,0.0010298,0.0010298,0.0010298
51,1470.25,1.13579,0.52206,1.0902,0.96541,0.96769,0.94988,0.46308,1.78175,0.67549,1.306,0.00101,0.00101,0.00101
52,1499.16,1.10758,0.51827,1.07939,0.98472,0.98532,0.97473,0.50654,1.66052,0.64088,1.29208,0.0009902,0.0009902,0.0009902
53,1528.02,1.09997,0.52581,1.07433,0.98332,0.98238,0.97194,0.48246,1.71145,0.6625,1.30819,0.0009704,0.0009704,0.0009704
54,1556.85,1.10908,0.52037,1.08576,0.97768,0.97797,0.96259,0.47517,1.73189,0.66051,1.28497,0.0009506,0.0009506,0.0009506
55,1585.69,1.10143,0.51865,1.08359,0.97884,0.97797,0.97026,0.46241,1.78883,0.70164,1.311,0.0009308,0.0009308,0.0009308
56,1614.46,1.10027,0.51284,1.07741,0.96053,0.96035,0.93719,0.39363,2.00001,0.72092,1.40763,0.000911,0.000911,0.000911
57,1643.19,1.10125,0.50809,1.07367,0.98559,0.98678,0.9776,0.50183,1.67946,0.63436,1.26137,0.0008912,0.0008912,0.0008912
58,1671.89,1.09516,0.50549,1.06885,0.98349,0.98385,0.97358,0.46344,1.74957,0.66219,1.30698,0.0008714,0.0008714,0.0008714
59,1700.67,1.06696,0.49666,1.05654,0.9731,0.97651,0.95629,0.4422,1.82695,0.69846,1.33573,0.0008516,0.0008516,0.0008516
60,1729.44,1.09308,0.49367,1.08058,0.98821,0.98825,0.98186,0.5376,1.58849,0.60429,1.23125,0.0008318,0.0008318,0.0008318
61,1758.19,1.09984,0.50774,1.07825,0.98301,0.98238,0.97525,0.48771,1.73263,0.68692,1.31064,0.000812,0.000812,0.000812
62,1786.97,1.04837,0.49062,1.05666,0.98182,0.98238,0.97344,0.4972,1.69415,0.65922,1.30051,0.0007922,0.0007922,0.0007922
63,1815.7,1.08845,0.49415,1.0743,0.986,0.98678,0.97591,0.50017,1.67719,0.62727,1.30192,0.0007724,0.0007724,0.0007724
64,1844.48,1.07413,0.49567,1.06272,0.98146,0.98238,0.97198,0.47742,1.75054,0.63973,1.2791,0.0007526,0.0007526,0.0007526
65,1873.13,1.07747,0.4979,1.05892,0.98142,0.97797,0.97005,0.42403,1.88419,0.76071,1.37215,0.0007328,0.0007328,0.0007328
66,1901.9,1.07823,0.48764,1.06373,0.97994,0.98091,0.97305,0.46051,1.76979,0.68257,1.31915,0.000713,0.000713,0.000713
67,1930.6,1.05995,0.49724,1.05847,0.97278,0.97357,0.95571,0.45762,1.76664,0.67702,1.32941,0.0006932,0.0006932,0.0006932
68,1959.49,1.07679,0.49468,1.05976,0.97285,0.97797,0.96142,0.43524,1.88043,0.68708,1.36021,0.0006734,0.0006734,0.0006734
69,1988.2,1.0512,0.47564,1.05206,0.96473,0.96623,0.9431,0.40399,1.94234,0.72289,1.403,0.0006536,0.0006536,0.0006536
70,2016.76,1.04917,0.48253,1.04898,0.97611,0.97504,0.95891,0.45551,1.79903,0.65845,1.33434,0.0006338,0.0006338,0.0006338
71,2045.5,1.04099,0.47035,1.04825,0.9813,0.98385,0.97434,0.503,1.6804,0.62582,1.27009,0.000614,0.000614,0.000614
