epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,683.31,0.9625,0.675,1.04168,0.99722,0.99718,0.99457,0.80911,0.80236,0.35386,0.90304,0.00333163,0.00333163,0.00333163
2,1352.95,0.9644,0.49911,1.04713,0.99749,0.99528,0.99493,0.79531,0.80746,0.3919,0.92678,0.00655499,0.00655499,0.00655499
3,2017.53,0.98702,0.52267,1.07317,0.98782,0.99444,0.99312,0.75784,0.88402,0.44019,0.96641,0.00966835,0.00966835,0.00966835
4,2679.52,0.9784,0.50578,1.08783,0.99221,0.99583,0.99337,0.80734,0.79284,0.36938,0.91699,0.009505,0.009505,0.009505
5,3342.2,0.94488,0.46734,1.07987,0.99861,0.99775,0.99484,0.82234,0.78593,0.3313,0.92371,0.00934,0.00934,0.00934
6,4005.22,0.9245,0.44063,1.07399,0.99722,0.99745,0.99489,0.81782,0.76888,0.33252,0.918,0.009175,0.009175,0.009175
7,4667.99,0.9116,0.42511,1.07351,0.99833,0.99776,0.99488,0.81727,0.76205,0.31157,0.91599,0.00901,0.00901,0.00901
8,5330.67,0.90448,0.4172,1.07111,0.99889,0.9987,0.995,0.81765,0.76498,0.30887,0.91792,0.008845,0.008845,0.008845
9,5993.35,0.89036,0.40496,1.06775,0.99695,0.99979,0.99497,0.81274,0.76869,0.30516,0.9217,0.00868,0.00868,0.00868
10,6656.07,0.88754,0.39924,1.06627,0.99888,0.99917,0.99492,0.82223,0.76648,0.29116,0.91802,0.008515,0.008515,0.008515
11,7318.81,0.88136,0.39238,1.06182,0.99902,0.99944,0.995,0.83065,0.75778,0.28486,0.91702,0.00835,0.00835,0.00835
12,7982.26,0.87345,0.38819,1.05804,0.99836,0.99944,0.99469,0.82103,0.75746,0.28187,0.91446,0.008185,0.008185,0.008185
13,8645.49,0.87291,0.38491,1.05795,0.99886,0.99917,0.99496,0.82998,0.75069,0.27585,0.9084,0.00802,0.00802,0.00802
14,9308.91,0.86357,0.37723,1.05534,0.99972,0.99937,0.995,0.82027,0.75792,0.27499,0.91122,0.007855,0.007855,0.007855
15,9972.18,0.86198,0.37455,1.05362,0.99972,0.99916,0.995,0.82711,0.74093,0.26712,0.90182,0.00769,0.00769,0.00769
16,10636.2,0.86078,0.37164,1.05615,0.99889,0.99968,0.99486,0.82248,0.7627,0.26593,0.91163,0.007525,0.007525,0.007525
17,11300.6,0.8556,0.36651,1.0516,0.9994,0.99917,0.995,0.82282,0.75913,0.26566,0.90797,0.00736,0.00736,0.00736
18,11964.4,0.85165,0.36542,1.04719,0.99928,0.99917,0.99492,0.82655,0.75405,0.26244,0.90945,0.007195,0.007195,0.007195
19,12628.3,0.85201,0.36412,1.04621,0.99917,0.99918,0.99495,0.81767,0.76512,0.26119,0.91136,0.00703,0.00703,0.00703
