epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6522.41,0.41252,0.24235,0.80763,0.999,0.99925,0.99497,0.95701,0.3371,0.18474,0.78391,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6723.97,0.40957,0.24106,0.80623,0.99958,0.9995,0.99493,0.95385,0.33621,0.17935,0.78422,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6925.13,0.40985,0.23831,0.80558,0.99898,1,0.99499,0.95846,0.32647,0.17534,0.78273,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7126.54,0.40637,0.23784,0.80603,0.99862,0.9995,0.99492,0.95572,0.33053,0.1752,0.7838,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7328.26,0.40371,0.23585,0.80638,0.99915,0.9995,0.995,0.95875,0.32556,0.17551,0.7826,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7529.26,0.40082,0.23267,0.80587,0.999,0.99957,0.99493,0.95784,0.32939,0.17521,0.78342,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7730.79,0.40304,0.23439,0.80563,0.99933,0.9995,0.99493,0.95689,0.32851,0.17581,0.78248,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7931.83,0.39889,0.23184,0.80421,0.99837,0.9995,0.995,0.95822,0.32806,0.17567,0.78333,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8133.65,0.40163,0.23325,0.80702,0.99945,0.99975,0.99488,0.95785,0.3237,0.17108,0.78197,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,8335.46,0.397,0.2286,0.80689,0.99861,0.99925,0.99494,0.95862,0.32279,0.16822,0.78191,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,8536.94,0.39733,0.22987,0.80565,0.99904,0.99925,0.995,0.96006,0.32232,0.16905,0.78173,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,8738.95,0.39145,0.227,0.80531,0.9989,0.9995,0.995,0.9572,0.32436,0.16862,0.78166,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,8941.38,0.39458,0.22762,0.80366,0.9986,0.9995,0.99495,0.96028,0.32455,0.16822,0.78125,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9143.17,0.39277,0.22476,0.80399,0.99903,0.9995,0.99499,0.95956,0.32355,0.16599,0.78155,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,9345.27,0.39629,0.22708,0.804,0.99825,0.99939,0.99499,0.95904,0.32456,0.16736,0.78192,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,9547.16,0.39317,0.2258,0.80502,0.99939,0.9995,0.99499,0.9604,0.32043,0.16407,0.78096,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,9748.82,0.38964,0.22241,0.8041,0.99863,0.9995,0.99499,0.96166,0.31685,0.16281,0.78003,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,9950.8,0.39147,0.22332,0.80194,0.99875,0.99952,0.99497,0.96039,0.31949,0.16318,0.78041,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,10152.3,0.38748,0.22038,0.80392,0.99915,0.9995,0.995,0.9614,0.31816,0.16257,0.78015,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,10353.9,0.38358,0.21859,0.80334,0.99925,0.99954,0.995,0.96163,0.31438,0.15912,0.78015,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
